,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2005,2002_00,Aoraki,34027,33782,40922,52177
1,2005,2002_01,Auckland Central,36781,35985,45159,53547
2,2005,2002_02,Banks Peninsula,40788,40243,47640,56914
3,2005,2002_03,Bay of Plenty,36508,35964,44128,51893
4,2005,2002_04,Christchurch Central,34469,33639,43667,56894
5,2005,2002_05,Christchurch East,35353,34767,43960,56310
6,2005,2002_06,Clevedon,37544,36850,47198,56169
7,2005,2002_07,Clutha-Southland,30335,30116,37567,51902
8,2005,2002_08,Coromandel,36372,36007,43641,53687
9,2005,2002_09,Dunedin North,32682,32259,39418,51756
10,2005,2002_10,Dunedin South,35619,35146,42500,53113
11,2005,2002_11,East Coast,30972,30502,38717,53637
12,2005,2002_12,East Coast Bays,37184,36604,46167,56749
13,2005,2002_13,Epsom,36421,35785,44686,54525
14,2005,2002_14,Hamilton East,37658,36975,45825,55263
15,2005,2002_15,Hamilton West,34138,33529,42991,56672
16,2005,2002_16,Helensville,34896,34335,42511,52281
17,2005,2002_17,Hutt South,32673,32238,39626,52910
18,2005,2002_18,Ilam,36451,35780,44279,56906
19,2005,2002_19,Invercargill,31805,31451,39414,51673
20,2005,2002_20,Kaikoura,34729,34356,42294,52855
21,2005,2002_21,Mana,32046,31495,39043,53671
22,2005,2002_22,Mangere,28674,27793,40755,56830
23,2005,2002_23,Manukau East,32989,31655,46077,56426
24,2005,2002_24,Manurewa,30882,29834,41763,56815
25,2005,2002_25,Maungakiekie,30532,29659,40192,51913
26,2005,2002_26,Mt Albert,32212,31431,40698,51941
27,2005,2002_27,Mt Roskill,33200,32492,42310,54064
28,2005,2002_28,Napier,35648,35231,42825,55382
29,2005,2002_29,Nelson,36802,36429,44761,56025
30,2005,2002_30,New Lynn,33019,32232,40810,52141
31,2005,2002_31,New Plymouth,33319,32919,41250,52194
32,2005,2002_32,North Shore,37623,36898,45687,56032
33,2005,2002_33,Northcote,34707,34143,43527,54675
34,2005,2002_34,Northland,31039,30628,38574,54115
35,2005,2002_35,Ohariu-Belmont,37197,36693,43616,54232
36,2005,2002_36,Otago,36813,36288,44124,52491
37,2005,2002_37,Otaki,38707,38369,46039,56725
38,2005,2002_38,Pakuranga,35983,35460,44955,56269
39,2005,2002_39,Palmerston North,32551,32045,39798,52859
40,2005,2002_40,Piako,34297,33874,43014,56643
41,2005,2002_41,Port Waikato,36037,35530,44043,56578
42,2005,2002_42,Rakaia,36756,36260,44182,54711
43,2005,2002_43,Rangitikei,31979,31641,38811,51920
44,2005,2002_44,Rimutaka,34640,34128,41997,55998
45,2005,2002_45,Rodney,37605,37161,44926,52885
46,2005,2002_46,Rongotai,36680,36000,43391,53113
47,2005,2002_47,Rotorua,30950,30465,38490,53647
48,2005,2002_48,Tamaki,36807,36132,45211,56282
49,2005,2002_49,Taranaki-King Country,31477,30861,38839,53788
50,2005,2002_50,Taupo,29426,29037,37043,52274
51,2005,2002_51,Tauranga,36573,36091,44003,53449
52,2005,2002_52,Te Atatu,31154,30463,40062,52774
53,2005,2002_53,Tukituki,35454,34963,43367,56977
54,2005,2002_54,Waimakariri,39744,39258,48111,55964
55,2005,2002_55,Wairarapa,32357,32030,39116,52261
56,2005,2002_56,Waitakere,32127,31396,40419,51630
57,2005,2002_57,Wellington Central,41373,40666,48148,54289
58,2005,2002_58,West Coast-Tasman,32271,31824,39387,51719
59,2005,2002_59,Whanganui,32624,32152,40699,56031
60,2005,2002_60,Whangarei,35568,35122,43362,54133
61,2005,2002_61,Wigram,33930,33519,43658,56879
62,2005,2002_62,Ikaroa-Rawhiti,18255,17686,28164,51262
63,2005,2002_63,Tainui,18716,17975,29669,54358
64,2005,2002_64,Tamaki Makaurau,19859,19147,32940,54692
65,2005,2002_65,Te Tai Hauauru,18115,17343,27407,51103
66,2005,2002_66,Te Tai Tokerau,19842,19012,29670,54466
67,2005,2002_67,Te Tai Tonga,19838,19087,30203,52204
68,2005,2002_68,Waiariki,19827,19039,29950,53680
